Device/package EF3L40CG332B   datasheet:1.3

Number  Name                               Type            Posetion   Section
V16     IO_RE8P_2                          Bidirectional   Right      3
Y17     IO_RE8N_2                          Bidirectional   Right      3
W14     IO_RE9P_2                          Bidirectional   Right      3
V14     IO_RE9N_2                          Bidirectional   Right      3
Y16     IO_RE10P_2                         Bidirectional   Right      3
W16     IO_RE10N_2                         Bidirectional   Right      3
W19     IO_RE12P_2                         Bidirectional   Right      3
Y19     IO_RE12N_2                         Bidirectional   Right      3
T11     IO_RE14P_2                         Bidirectional   Right      3
U12     IO_RE14N_2                         Bidirectional   Right      3
Y12     IO_RE16P_2,GCLKIOR_2_2             Bidirectional   Right      3
W12     IO_RE16N_2,GCLKIOR_3_2             Bidirectional   Right      3
V9      IO_RE18P_2,GCLKIOR_0_2             Bidirectional   Right      3
W9      IO_RE18N_2,GCLKIOR_1_2             Bidirectional   Right      3
W10     IO_RE20P_2                         Bidirectional   Right      3
Y10     IO_RE20N_2                         Bidirectional   Right      3
W8      IO_RE22P_2                         Bidirectional   Right      3
Y8      IO_RE22N_2                         Bidirectional   Right      3
Y7      IO_RE23P_2                         Bidirectional   Right      3
V8      IO_RE23N_2                         Bidirectional   Right      3
U7      IO_RE25P_2                         Bidirectional   Right      3
T9      IO_RE25N_2                         Bidirectional   Right      3
Y5      IO_RE27P_2                         Bidirectional   Right      3
V6      IO_RE27N_2                         Bidirectional   Right      3
V5      IO_RE29P_2                         Bidirectional   Right      3
W5      IO_RE29N_2                         Bidirectional   Right      3
W4      IO_RE31P_2                         Bidirectional   Right      3
Y4      IO_RE31N_2                         Bidirectional   Right      3
V4      IO_RE33P_2                         Bidirectional   Right      3
Y3      IO_RE33N_2                         Bidirectional   Right      3
U6      IO_RE35P_2                         Bidirectional   Right      3
T8      IO_RE35N_2                         Bidirectional   Right      3
W2      IO_BE1P_3                          Bidirectional   Left       4
W1      IO_BE1N_3                          Bidirectional   Left       4
U2      IO_BE2P_3                          Bidirectional   Left       4
U3      IO_BE2N_3                          Bidirectional   Left       4
V2      IO_BE3P_3                          Bidirectional   Left       4
V1      IO_BE3N_3                          Bidirectional   Left       4
P5      IO_BE4P_3                          Bidirectional   Left       4
R4      IO_BE4N_3                          Bidirectional   Left       4
R5      IO_BE5P_3                          Bidirectional   Left       4
T4      IO_BE5N_3                          Bidirectional   Left       4
R2      IO_BE6P_3,GCLKIOB_0_3              Bidirectional   Left       4
R3      IO_BE6N_3,GCLKIOB_1_3              Bidirectional   Left       4
T3      IO_BE7P_3                          Bidirectional   Left       4
U1      IO_BE7N_3                          Bidirectional   Left       4
T1      IO_BE8P_3                          Bidirectional   Left       4
T2      IO_BE8N_3                          Bidirectional   Left       4
P3      IO_BE9P_3                          Bidirectional   Left       4
R1      IO_BE9N_3                          Bidirectional   Left       4
N5      IO_BE10P_3                         Bidirectional   Left       4
P4      IO_BE10N_3                         Bidirectional   Left       4
P1      IO_BE11P_3                         Bidirectional   Left       4
P2      IO_BE11N_3                         Bidirectional   Left       4
M5      IO_BE12P_3                         Bidirectional   Left       4
N4      IO_BE12N_3                         Bidirectional   Left       4
J3      IO_BE1P_5                          Bidirectional   Left       4
J2      IO_BE1N_5                          Bidirectional   Left       4
G1      IO_BE2P_5                          Bidirectional   Left       4
H3      IO_BE2N_5                          Bidirectional   Left       4
H2      IO_BE3P_5                          Bidirectional   Left       4
H1      IO_BE3N_5                          Bidirectional   Left       4
F2      IO_BE4P_5                          Bidirectional   Left       4
F1      IO_BE4N_5                          Bidirectional   Left       4
H4      IO_BE5P_5                          Bidirectional   Left       4
J4      IO_BE5N_5                          Bidirectional   Left       4
F5      IO_BE6P_5                          Bidirectional   Left       4
G5      IO_BE6N_5                          Bidirectional   Left       4
G4      IO_BE7P_5                          Bidirectional   Left       4
J5      IO_BE7N_5                          Bidirectional   Left       4
F4      IO_BE8P_5                          Bidirectional   Left       4
H5      IO_BE8N_5                          Bidirectional   Left       4
M1      IO_BE8P_4,GCLKIOB_2_4              Bidirectional   Right      4
M2      IO_BE8N_4,GCLKIOB_3_4              Bidirectional   Right      4
J1      IO_BE7P_4                          Bidirectional   Right      4
K3      IO_BE7N_4                          Bidirectional   Right      4
